Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
1,-39,-47,-31,2
1,-41,-49,-32,2
1,-40,-48,-27,2
1,-39,-47,-28,2
1,-37,-45,-27,2
1,-40,-45,-28,2
1,-40,-46,-28,2
1,-40,-47,-28,2
1,-42,-47,-29,2
1,-38,-46,-28,2
1,-42,-46,-29,2
1,-42,-44,-28,2
1,-41,-43,-28,2
1,-39,-44,-28,2
1,-41,-51,-29,2
1,-40,-47,-28,2
1,-41,-47,-33,2
1,-40,-48,-46,2
1,-38,-46,-39,2
1,-39,-47,-29,2
1,-39,-42,-27,2
1,-41,-51,-28,2
1,-40,-48,-28,2
1,-39,-48,-29,2
1,-38,-47,-29,2
1,-40,-46,-28,2
1,-42,-45,-28,2
1,-40,-49,-29,2
1,-38,-47,-29,2
1,-40,-48,-37,2
1,-38,-47,-38,2
1,-39,-45,-32,2
1,-41,-45,-28,2
1,-38,-43,-28,2
1,-40,-50,-28,2
1,-40,-48,-29,2
1,-37,-49,-29,2
1,-37,-45,-29,2
1,-40,-47,-29,2
1,-39,-49,-29,2
1,-38,-48,-29,2
1,-40,-48,-38,2
1,-39,-52,-40,2
1,-40,-48,-38,2
2,-39,-51,-28,2
2,-40,-52,-29,2
2,-41,-49,-35,2
2,-40,-50,-38,2
2,-40,-50,-37,2
2,-40,-50,-29,2
2,-40,-43,-28,2
2,-39,-43,-29,2
2,-39,-44,-29,2
2,-38,-50,-28,2
2,-42,-53,-29,2
2,-41,-49,-28,2
2,-42,-50,-29,2
2,-37,-44,-28,2
2,-39,-50,-28,2
2,-39,-52,-29,2
2,-39,-48,-29,2
2,-39,-53,-39,2
2,-40,-50,-38,2
2,-39,-50,-28,2
2,-39,-45,-28,2
2,-41,-46,-27,2
2,-38,-50,-28,2
2,-42,-51,-28,2
2,-37,-52,-28,2
2,-37,-50,-28,2
2,-38,-48,-29,2
2,-39,-48,-28,2
2,-40,-44,-29,2
2,-38,-50,-28,2
2,-40,-52,-28,2
2,-40,-46,-29,2
2,-40,-49,-31,2
2,-41,-50,-33,2
2,-39,-48,-28,2
2,-40,-51,-29,2
2,-39,-52,-28,2
2,-39,-46,-29,2
2,-40,-49,-28,2
2,-40,-51,-29,2
2,-41,-52,-28,2
2,-41,-49,-29,2
2,-40,-47,-28,2
2,-40,-46,-29,2
2,-40,-53,-29,2
3,-38,-51,-30,2
3,-37,-50,-29,2
3,-40,-46,-29,2
3,-39,-46,-29,2
3,-40,-52,-28,2
3,-38,-53,-38,2
3,-42,-48,-39,2
3,-39,-48,-36,2
3,-39,-51,-29,2
3,-40,-48,-29,2
3,-41,-47,-29,2
3,-37,-45,-29,2
3,-39,-51,-28,2
3,-41,-48,-29,2
3,-40,-48,-28,2
3,-37,-50,-29,2
3,-39,-49,-29,2
3,-40,-52,-29,2
3,-40,-51,-29,2
3,-39,-50,-30,2
3,-39,-52,-37,2
3,-38,-55,-36,2
3,-41,-48,-29,2
3,-39,-51,-28,2
3,-40,-48,-29,2
3,-40,-42,-29,2
3,-38,-49,-29,2
3,-42,-49,-29,2
3,-42,-49,-29,2
3,-39,-48,-29,2
3,-39,-54,-29,2
3,-42,-42,-29,2
3,-41,-47,-29,2
3,-39,-49,-29,2
3,-38,-48,-29,2
3,-39,-53,-33,2
3,-39,-51,-41,2
3,-40,-47,-29,2
3,-40,-47,-29,2
3,-37,-43,-29,2
3,-39,-51,-29,2
3,-41,-51,-29,2
3,-39,-49,-29,2
3,-39,-43,-29,2
3,-39,-42,-29,2
4,-40,-48,-29,2
4,-40,-50,-29,2
4,-39,-48,-28,2
4,-39,-45,-29,2
4,-39,-46,-29,2
4,-39,-50,-29,2
4,-40,-48,-29,2
4,-38,-42,-32,2
4,-38,-46,-42,2
4,-40,-49,-33,2
4,-39,-50,-40,2
4,-40,-44,-29,2
4,-37,-46,-29,2
4,-38,-50,-29,2
4,-42,-47,-29,2
4,-42,-48,-29,2
4,-38,-46,-29,2
4,-40,-52,-29,2
4,-40,-49,-29,2
4,-38,-49,-29,2
4,-39,-49,-29,2
4,-39,-56,-40,2
4,-39,-49,-38,2
4,-39,-50,-41,2
4,-38,-49,-29,2
4,-40,-43,-29,2
4,-37,-49,-29,2
4,-40,-49,-29,2
4,-41,-48,-29,2
4,-40,-48,-29,2
4,-40,-46,-29,2
4,-39,-46,-29,2
4,-40,-44,-29,2
4,-41,-50,-33,2
4,-39,-48,-38,2
4,-42,-55,-43,2
4,-39,-49,-32,2
4,-40,-48,-28,2
4,-39,-50,-29,2
4,-38,-45,-29,2
4,-38,-45,-29,2
4,-42,-49,-29,2
4,-41,-48,-28,2
4,-40,-48,-29,2
4,-40,-44,-29,2
4,-41,-49,-29,2
5,-43,-48,-29,2
5,-39,-48,-28,2
5,-40,-48,-29,2
5,-40,-49,-29,2
5,-40,-48,-29,2
5,-39,-48,-35,2
5,-41,-45,-38,2
5,-40,-47,-36,2
5,-39,-48,-29,2
5,-39,-48,-29,2
5,-39,-47,-29,2
5,-39,-42,-29,2
5,-39,-43,-29,2
5,-41,-48,-29,2
5,-40,-47,-29,2
5,-40,-49,-29,2
5,-40,-45,-29,2
5,-40,-49,-29,2
5,-40,-45,-29,2
5,-40,-51,-42,2
5,-38,-50,-38,2
5,-40,-49,-29,2
5,-40,-48,-29,2
5,-38,-46,-29,2
5,-39,-43,-29,2
5,-41,-49,-29,2
5,-40,-47,-29,2
5,-37,-49,-29,2
5,-38,-51,-28,2
5,-40,-53,-29,2
5,-39,-41,-29,2
5,-40,-52,-29,2
5,-42,-49,-37,2
5,-40,-44,-39,2
5,-42,-45,-35,2
5,-41,-50,-29,2
5,-39,-51,-29,2
5,-39,-43,-28,2
5,-40,-45,-29,2
5,-40,-45,-29,2
5,-41,-49,-29,2
5,-40,-47,-29,2
5,-40,-50,-29,2
